"Taxon","Quadrat","Abundance","SiteHeightYear"
"Polyneura latissima","7","1","West Beach LOW 2011"
"Pseudolithophyllum neofarlowii","7","6","West Beach LOW 2011"
"Ptilota spp.","7","5","West Beach LOW 2011"
"Tokidadendron bullatum","7","0.5","West Beach LOW 2011"
"Cobble","7","5","West Beach LOW 2011"
"Acrosiphonia","8","1","West Beach LOW 2011"
"Alaria","8","5","West Beach LOW 2011"
"Bossiella","8","0.5","West Beach LOW 2011"
"Ceramium pacificum","8","3","West Beach LOW 2011"
"Corallina frondescens","8","0.5","West Beach LOW 2011"
"Corallina vancouveriensis","8","0.5","West Beach LOW 2011"
"Cryptosiphonia woodii","8","1","West Beach LOW 2011"
"Dilsea","8","3","West Beach LOW 2011"
"Egregia menziesii","8","2","West Beach LOW 2011"
"Farlowia mollis","8","0.5","West Beach LOW 2011"
"Fucus distichus subsp. evanescens","8","1","West Beach LOW 2011"
"Halosaccion glandiforme","8","1","West Beach LOW 2011"
"Hildenbrandia","8","5","West Beach LOW 2011"
"Leathesia marina","8","0.5","West Beach LOW 2011"
"Mastocarpus latissimus","8","2","West Beach LOW 2011"
"Mazzaella splendens","8","1","West Beach LOW 2011"
"Neogastroclonium subarticulatum","8","10","West Beach LOW 2011"
"Neorhodomela larix","8","8","West Beach LOW 2011"
"Palmaria hecatensis","8","6","West Beach LOW 2011"
"Polyneura latissima","8","3","West Beach LOW 2011"
"Pseudolithophyllum neofarlowii","8","4","West Beach LOW 2011"
"Ptilota spp.","8","6","West Beach LOW 2011"
"Ulva lactuca","8","4","West Beach LOW 2011"
"Boulder","8","65","West Beach LOW 2011"
"Cobble","8","35","West Beach LOW 2011"
"Bare Rock","8","50","West Beach LOW 2011"
"Acrosiphonia","9","0.5","West Beach LOW 2011"
"Alaria","9","20","West Beach LOW 2011"
"Analipus japonicus","9","0.5","West Beach LOW 2011"
"Bossiella","9","0.5","West Beach LOW 2011"
"Corallina frondescens","9","6","West Beach LOW 2011"
"Corallina vancouveriensis","9","0.5","West Beach LOW 2011"
"Halosaccion glandiforme","9","0.5","West Beach LOW 2011"
"Hildenbrandia","9","1","West Beach LOW 2011"
"Mastocarpus latissimus","9","3","West Beach LOW 2011"
"Mazzaella oregona","9","4","West Beach LOW 2011"
"Neorhodomela larix","9","3","West Beach LOW 2011"
"Odonthalia floccosa","9","0.5","West Beach LOW 2011"
"Palmaria hecatensis","9","12","West Beach LOW 2011"
"Petrocelis","9","5","West Beach LOW 2011"
"Plocamium violaceum","9","5","West Beach LOW 2011"
"Polyneura latissima","9","3","West Beach LOW 2011"
"Prionitis sternbergii","9","0.5","West Beach LOW 2011"
"Pseudolithophyllum neofarlowii","9","3","West Beach LOW 2011"
"Ptilota spp.","9","4","West Beach LOW 2011"
"Tokidadendron bullatum","9","0.5","West Beach LOW 2011"
"Ulva lactuca","9","0.5","West Beach LOW 2011"
"Boulder","9","65","West Beach LOW 2011"
"Cobble","9","35","West Beach LOW 2011"
"Bare Rock","9","35","West Beach LOW 2011"
"Alaria","10","25","West Beach LOW 2011"
"Ceramium pacificum","10","5","West Beach LOW 2011"
"Corallina frondescens","10","1","West Beach LOW 2011"
"Corallina vancouveriensis","10","1","West Beach LOW 2011"
"Cryptosiphonia woodii","10","2","West Beach LOW 2011"
"Fucus distichus subsp. evanescens","10","5","West Beach LOW 2011"
"Halosaccion glandiforme","10","1","West Beach LOW 2011"
"Mastocarpus latissimus","10","0.5","West Beach LOW 2011"
"Mazzaella oregona","10","1","West Beach LOW 2011"
"Neorhodomela larix","10","30","West Beach LOW 2011"
"Palmaria hecatensis","10","12","West Beach LOW 2011"
"Plocamium violaceum","10","1","West Beach LOW 2011"
"Polyneura latissima","10","0.5","West Beach LOW 2011"
"Pseudolithophyllum neofarlowii","10","1","West Beach LOW 2011"
"Ptilota spp.","10","8","West Beach LOW 2011"
"Ulva lactuca","10","1","West Beach LOW 2011"
"Cobble","10","5","West Beach LOW 2011"
"Corallina frondescens","1","0.5","West Beach LOW 2012"
"Corallina vancouveriensis","1","1","West Beach LOW 2012"
"Coralline crust, unknown","1","10","West Beach LOW 2012"
"Cryptosiphonia woodii","1","5","West Beach LOW 2012"
"Dilsea californica","1","2","West Beach LOW 2012"
"Fucus distichus","1","18","West Beach LOW 2012"
"Halosaccion glandiforme","1","4","West Beach LOW 2012"
"Hildenbrandia","1","1","West Beach LOW 2012"
"Mastocarpus latissimus","1","4","West Beach LOW 2012"
"Mazzaella oregona","1","5","West Beach LOW 2012"
"Mazzaella splendens","1","1","West Beach LOW 2012"
"Microcladia borealis","1","2","West Beach LOW 2012"
"Neogastroclonium subarticulatum","1","4","West Beach LOW 2012"
"Neorhodomela larix","1","40","West Beach LOW 2012"
"Petrocelis","1","2","West Beach LOW 2012"
"Phyllospadix serrulatus","1","35","West Beach LOW 2012"
"Polyneura latissima","1","2","West Beach LOW 2012"
"Ptilota spp.","1","8","West Beach LOW 2012"
"Boulder","1","100","West Beach LOW 2012"
"Red Crust","1","1","West Beach LOW 2012"
"Encrusting Corraline","1","10","West Beach LOW 2012"
"Pagarus spp.","1","1","West Beach LOW 2012"
"Gammaridae","1","present","West Beach LOW 2012"
"Acrosiphonia coalita","2","1","West Beach LOW 2012"
"Alaria marginata","2","10","West Beach LOW 2012"
"Corallina frondescens","2","4","West Beach LOW 2012"
"Corallina vancouveriensis","2","1","West Beach LOW 2012"
"Coralline crust, unknown","2","2","West Beach LOW 2012"
"Egregia menziesii","2","10","West Beach LOW 2012"
"Hildenbrandia","2","2","West Beach LOW 2012"
"Mazzaella oregona","2","4","West Beach LOW 2012"
"Mazzaella splendens","2","5","West Beach LOW 2012"
"Neogastroclonium subarticulatum","2","2","West Beach LOW 2012"
"Neorhodomela larix","2","8","West Beach LOW 2012"
"Osmundea spectabilis","2","1","West Beach LOW 2012"
"Palmaria hecatensis","2","7","West Beach LOW 2012"
"Polyneura latissima","2","15","West Beach LOW 2012"
"Pyropia sp.","2","1","West Beach LOW 2012"
"Prionitis sternbergii","2","3","West Beach LOW 2012"
"Ptilota spp.","2","5","West Beach LOW 2012"
"Ulva lactuca","2","4","West Beach LOW 2012"
"Encrusting Corraline","2","2","West Beach LOW 2012"
"Bare Rock","2","15","West Beach LOW 2012"
"Pagarus spp.","2","1","West Beach LOW 2012"
"Pink Worm (Amphiporus)","2","1","West Beach LOW 2012"
"Kelp Crab","2","1","West Beach LOW 2012"
"Acrosiphonia coalita","3","10","West Beach LOW 2012"
"Alaria marginata","3","8","West Beach LOW 2012"
"Corallina frondescens","3","7","West Beach LOW 2012"
"Coralline crust, unknown","3","4","West Beach LOW 2012"
"Cryptopleura","3","3","West Beach LOW 2012"
"Egregia menziesii","3","6","West Beach LOW 2012"
"Hildenbrandia","3","5","West Beach LOW 2012"
"Mazzaella oregona","3","3","West Beach LOW 2012"
"Mazzaella splendens","3","2","West Beach LOW 2012"
"Neorhodomela larix","3","4","West Beach LOW 2012"
"Odonthalia floccosa","3","4","West Beach LOW 2012"
"Palmaria hecatensis","3","12","West Beach LOW 2012"
"Ptilota spp.","3","2","West Beach LOW 2012"
"Saccharina groenlandica","3","5","West Beach LOW 2012"
"Ulva lactuca","3","10","West Beach LOW 2012"
"Encrusting Corraline","3","4","West Beach LOW 2012"
"Bare Rock","3","15","West Beach LOW 2012"
"Alaria marginata","4","35","West Beach LOW 2012"
"Ceramium pacificum","4","1","West Beach LOW 2012"
"Codium fragile","4","8","West Beach LOW 2012"
"Corallina frondescens","4","4","West Beach LOW 2012"
"Coralline crust, unknown","4","10","West Beach LOW 2012"
"Cryptosiphonia woodii","4","0.5","West Beach LOW 2012"
"Delesseria decipiens","4","0.5","West Beach LOW 2012"
"Fucus distichus","4","10","West Beach LOW 2012"
"Halosaccion glandiforme","4","0.5","West Beach LOW 2012"
"Hildenbrandia","4","2","West Beach LOW 2012"
"Mazzaella splendens","4","3","West Beach LOW 2012"
"Neogastroclonium subarticulatum","4","0.5","West Beach LOW 2012"
"Neorhodomela larix","4","10","West Beach LOW 2012"
"Odonthalia floccosa","4","0.5","West Beach LOW 2012"
"Osmundea spectabilis","4","2","West Beach LOW 2012"
"Palmaria hecatensis","4","15","West Beach LOW 2012"
"Plocamium violaceum","4","0.5","West Beach LOW 2012"
"Polyneura latissima","4","12","West Beach LOW 2012"
"Prionitis sternbergii","4","6","West Beach LOW 2012"
"Ptilota spp.","4","4","West Beach LOW 2012"
"Saccharina groenlandica","4","10","West Beach LOW 2012"
"Ulva lactuca","4","2","West Beach LOW 2012"
"Boulder","4","45","West Beach LOW 2012"
"Cobble","4","50","West Beach LOW 2012"
"Sand/Gravel/Pebble","4","5","West Beach LOW 2012"
"Red Crust","4","2","West Beach LOW 2012"
"Encrusting Corraline","4","10","West Beach LOW 2012"
"Pisaster ochraceus","4","1","West Beach LOW 2012"
"Pink Worm (Amphiporus)","4","1","West Beach LOW 2012"
"Limpets","4","1","West Beach LOW 2012"
"Spirorbidae","4","1","West Beach LOW 2012"
"Bossiella frondifera","5","4","West Beach LOW 2012"
"Ceramium pacificum","5","0.5","West Beach LOW 2012"
"Codium fragile","5","13","West Beach LOW 2012"
"Corallina frondescens","5","4","West Beach LOW 2012"
"Corallina vancouveriensis","5","6","West Beach LOW 2012"
"Coralline crust, unknown","5","5","West Beach LOW 2012"
"Fucus distichus","5","0.5","West Beach LOW 2012"
"Halosaccion glandiforme","5","0.5","West Beach LOW 2012"
"Hildenbrandia","5","5","West Beach LOW 2012"
"Laminaria yezoensis","5","5","West Beach LOW 2012"
"Lomentaria hakodatensis","5","0.5","West Beach LOW 2012"
"Mastocarpus latissimus","5","1","West Beach LOW 2012"
"Mastocarpus agardhii","5","0.5","West Beach LOW 2012"
"Mazzaella oregona","5","0.5","West Beach LOW 2012"
"Mazzaella splendens","5","13","West Beach LOW 2012"
"Neogastroclonium subarticulatum","5","3","West Beach LOW 2012"
"Neorhodomela larix","5","5","West Beach LOW 2012"
"Palmaria hecatensis","5","1","West Beach LOW 2012"
"Palmaria mollis","5","1","West Beach LOW 2012"
"Polyneura latissima","5","25","West Beach LOW 2012"
"Pyropia sp.","5","1","West Beach LOW 2012"
"Ptilota spp.","5","1","West Beach LOW 2012"
"Ulva lactuca","5","1","West Beach LOW 2012"
"Boulder","5","50","West Beach LOW 2012"
"Cobble","5","50","West Beach LOW 2012"
"Red Crust","5","5","West Beach LOW 2012"
"Encrusting Corraline","5","5","West Beach LOW 2012"
"Water","5","10","West Beach LOW 2012"
"Pink Worm (Amphiporus)","5","1","West Beach LOW 2012"
"Limpets","5","1","West Beach LOW 2012"
"Spirorbidae","5","0.5","West Beach LOW 2012"
"Margarites or Calliostoma","5","1","West Beach LOW 2012"
"Halichondria","5","1","West Beach LOW 2012"
"Alaria marginata","6","25","West Beach LOW 2012"
"Antithamnionella pacifica","6","1","West Beach LOW 2012"
"Bossiella frondifera","6","4","West Beach LOW 2012"
"Corallina frondescens","6","20","West Beach LOW 2012"
"Corallina vancouveriensis","6","3","West Beach LOW 2012"
"Egregia menziesii","6","6","West Beach LOW 2012"
"Endocladia muricata","6","3","West Beach LOW 2012"
"Fucus distichus","6","4","West Beach LOW 2012"
"Hildenbrandia","6","3","West Beach LOW 2012"
"Mastocarpus agardhii","6","8","West Beach LOW 2012"
"Mazzaella oregona","6","5","West Beach LOW 2012"
"Neorhodomela larix","6","8","West Beach LOW 2012"
"Palmaria hecatensis","6","5","West Beach LOW 2012"
"Polyneura latissima","6","6","West Beach LOW 2012"
"Prionitis sternbergii","6","0.5","West Beach LOW 2012"
"Ptilota spp.","6","7","West Beach LOW 2012"
"Ulva lactuca","6","4","West Beach LOW 2012"
"Bare Rock","6","10","West Beach LOW 2012"
"Pagarus spp.","6","1","West Beach LOW 2012"
"Chiton","6","1","West Beach LOW 2012"
"Littornia","6","1","West Beach LOW 2012"
"Acrosiphonia coalita","7","0.5","West Beach LOW 2012"
"Alaria marginata","7","4","West Beach LOW 2012"
"Antithamnionella pacifica","7","2","West Beach LOW 2012"
"Ceramium codicola","7","4","West Beach LOW 2012"
"Ceramium pacificum","7","4","West Beach LOW 2012"
"Codium fragile","7","6","West Beach LOW 2012"
"Corallina frondescens","7","6","West Beach LOW 2012"
"Corallina vancouveriensis","7","4","West Beach LOW 2012"
"Cryptopleura","7","4","West Beach LOW 2012"
"Cryptosiphonia woodii","7","7","West Beach LOW 2012"
"Fucus distichus","7","70","West Beach LOW 2012"
"Halosaccion glandiforme","7","2","West Beach LOW 2012"
"Hildenbrandia","7","0.5","West Beach LOW 2012"
"Mastocarpus latissimus","7","8","West Beach LOW 2012"
"Mastocarpus agardhii","7","3","West Beach LOW 2012"
"Mazzaella oregona","7","5","West Beach LOW 2012"
"Neogastroclonium subarticulatum","7","2","West Beach LOW 2012"
"Neorhodomela larix","7","4","West Beach LOW 2012"
"Odonthalia floccosa","7","1","West Beach LOW 2012"
"Palmaria hecatensis","7","5","West Beach LOW 2012"
"Plocamium violaceum","7","12","West Beach LOW 2012"
"Polyneura latissima","7","8","West Beach LOW 2012"
"Pseudolithophyllum neofarlowii","7","8","West Beach LOW 2012"
"Ptilota spp.","7","7","West Beach LOW 2012"
"Ulva lactuca","7","0.5","West Beach LOW 2012"
"Bare Rock","7","4","West Beach LOW 2012"
"Pink Worm (Amphiporus)","7","1","West Beach LOW 2012"
"Alaria marginata","8","6","West Beach LOW 2012"
"Ceramium codicola","8","6","West Beach LOW 2012"
"Ceramium pacificum","8","6","West Beach LOW 2012"
"Codium fragile","8","12","West Beach LOW 2012"
"Corallina frondescens","8","5","West Beach LOW 2012"
"Corallina vancouveriensis","8","2","West Beach LOW 2012"
"Cryptopleura","8","3","West Beach LOW 2012"
"Cryptosiphonia woodii","8","8","West Beach LOW 2012"
"Fucus distichus","8","30","West Beach LOW 2012"
"Mastocarpus latissimus","8","3","West Beach LOW 2012"
"Neorhodomela larix","8","5","West Beach LOW 2012"
"Odonthalia floccosa","8","0.5","West Beach LOW 2012"
"Palmaria hecatensis","8","4","West Beach LOW 2012"
"Plocamium violaceum","8","25","West Beach LOW 2012"
"Polyneura latissima","8","10","West Beach LOW 2012"
"Pyropia sp.","8","2","West Beach LOW 2012"
"Pseudolithophyllum neofarlowii","8","2","West Beach LOW 2012"
"Ptilota spp.","8","7","West Beach LOW 2012"
"Tokidadendron bullatum","8","0.5","West Beach LOW 2012"
"Ulva lactuca","8","8","West Beach LOW 2012"
"Acrosiphonia coalita","9","2","West Beach LOW 2012"
"Alaria marginata","9","75","West Beach LOW 2012"
"Analipus japonicus","9","0.5","West Beach LOW 2012"
"Bossiella frondifera","9","5","West Beach LOW 2012"
"Codium fragile","9","3","West Beach LOW 2012"
"Corallina frondescens","9","5","West Beach LOW 2012"
"Corallina vancouveriensis","9","2","West Beach LOW 2012"
"Coralline crust, unknown","9","7","West Beach LOW 2012"
"Cryptosiphonia woodii","9","0.5","West Beach LOW 2012"
"Desmarestia aculeata","9","0.5","West Beach LOW 2012"
"Egregia menziesii","9","4","West Beach LOW 2012"
"Fucus distichus","9","3","West Beach LOW 2012"
"Halosaccion glandiforme","9","0.5","West Beach LOW 2012"
"Hildenbrandia","9","5","West Beach LOW 2012"
"Leathesia marina","9","0.5","West Beach LOW 2012"
"Mastocarpus agardhii","9","2","West Beach LOW 2012"
"Mazzaella oregona","9","2","West Beach LOW 2012"
"Neorhodomela larix","9","0.5","West Beach LOW 2012"
"Palmaria hecatensis","9","15","West Beach LOW 2012"
"Palmaria mollis","9","0.5","West Beach LOW 2012"
"Phyllospadix serrulatus","9","0.5","West Beach LOW 2012"
"Plocamium violaceum","9","3","West Beach LOW 2012"
"Polyneura latissima","9","3","West Beach LOW 2012"
"Ptilota spp.","9","1","West Beach LOW 2012"
"Rhodocorton purpureum","9","3","West Beach LOW 2012"
"Saccharina groenlandica","9","0.5","West Beach LOW 2012"
"Ulva lactuca","9","5","West Beach LOW 2012"
"Boulder","9","55","West Beach LOW 2012"
"Cobble","9","40","West Beach LOW 2012"
"Sand/Gravel/Pebble","9","5","West Beach LOW 2012"
"Red Crust","9","5","West Beach LOW 2012"
"Encrusting Corraline","9","7","West Beach LOW 2012"
"Water","9","25","West Beach LOW 2012"
"Pink Worm (Amphiporus)","9","3","West Beach LOW 2012"
"Spirorbidae","9","1","West Beach LOW 2012"
"Tonicella lineata","9","1","West Beach LOW 2012"
"Orange Sponge","9","1","West Beach LOW 2012"
"Acrosiphonia coalita","10","0.5","West Beach LOW 2012"
"Alaria marginata","10","35","West Beach LOW 2012"
"Ceramium pacificum","10","0.5","West Beach LOW 2012"
"Corallina frondescens","10","1","West Beach LOW 2012"
"Corallina vancouveriensis","10","2","West Beach LOW 2012"
"Coralline crust, unknown","10","3","West Beach LOW 2012"
"Cryptosiphonia woodii","10","10","West Beach LOW 2012"
"Dilsea californica","10","2","West Beach LOW 2012"
"Farlowia mollis","10","0.5","West Beach LOW 2012"
"Fucus distichus","10","10","West Beach LOW 2012"
"Halosaccion glandiforme","10","2","West Beach LOW 2012"
"Leathesia marina","10","4","West Beach LOW 2012"
"Lomentaria hakodatensis","10","0.5","West Beach LOW 2012"
"Mazzaella oregona","10","0.5","West Beach LOW 2012"
"Neogastroclonium subarticulatum","10","3","West Beach LOW 2012"
"Neorhodomela larix","10","35","West Beach LOW 2012"
"Petrocelis","10","0.5","West Beach LOW 2012"
"Phyllospadix serrulatus","10","20","West Beach LOW 2012"
"Plocamium violaceum","10","5","West Beach LOW 2012"
"Polyneura latissima","10","2","West Beach LOW 2012"
"Ptilota spp.","10","3","West Beach LOW 2012"
"Ulva lactuca","10","0.5","West Beach LOW 2012"
"Boulder","10","100","West Beach LOW 2012"
"Encrusting Corraline","10","3","West Beach LOW 2012"
"Pagarus spp.","10","2","West Beach LOW 2012"
"Limpets","10","1","West Beach LOW 2012"
"Bittium?","10","2","West Beach LOW 2012"
"Cryptosiphonia woodii","1","3","West Beach MID 2011"
"Elachista fucicola","1","1","West Beach MID 2011"
"Endocladia muricata","1","4","West Beach MID 2011"
"Fucus distichus subsp. evanescens","1","50","West Beach MID 2011"
"Halosaccion glandiforme","1","4","West Beach MID 2011"
"Hildenbrandia","1","2","West Beach MID 2011"
"Mastocarpus latissimus","1","4","West Beach MID 2011"
"Mastocarpus rigidus","1","15","West Beach MID 2011"
"Mazzaella oregona","1","3","West Beach MID 2011"
"Petrocelis--thick","1","13","West Beach MID 2011"
"Petrocelis--thin","1","3","West Beach MID 2011"
"Pseudolithophyllum neofarlowii","1","1","West Beach MID 2011"
"Elachista fucicola","2","3","West Beach MID 2011"
"Endocladia muricata","2","0.5","West Beach MID 2011"
"Fucus distichus subsp. evanescens","2","65","West Beach MID 2011"
"Halosaccion glandiforme","2","4","West Beach MID 2011"
"Hildenbrandia","2","5","West Beach MID 2011"
"Leathesia marina","2","0.5","West Beach MID 2011"
"Mastocarpus latissimus","2","3","West Beach MID 2011"
"Mastocarpus rigidus","2","1","West Beach MID 2011"
"Petrocelis--thick","2","35","West Beach MID 2011"
"Porphyra perforata","2","0.5","West Beach MID 2011"
"Pseudolithophyllum neofarlowii","2","0.5","West Beach MID 2011"
"Ulva lactuca","2","0.5","West Beach MID 2011"
"Ulva linza","2","2","West Beach MID 2011"
"Boulder","2","45","West Beach MID 2011"
"Cobble","2","55","West Beach MID 2011"
"Bare rock","2","50","West Beach MID 2011"
"Alaria","3","5","West Beach MID 2011"
"Cryptosiphonia woodii","3","3","West Beach MID 2011"
"Elachista fucicola","3","1","West Beach MID 2011"
"Endocladia muricata","3","1","West Beach MID 2011"
"Fucus distichus subsp. evanescens","3","6","West Beach MID 2011"
"Halosaccion glandiforme","3","1","West Beach MID 2011"
"Hildenbrandia","3","3","West Beach MID 2011"
"Mastocarpus latissimus","3","22","West Beach MID 2011"
"Mastocarpus rigidus","3","4","West Beach MID 2011"
"Mazzaella oregona","3","2","West Beach MID 2011"
"Neorhodomela larix","3","0.5","West Beach MID 2011"
"Odonthalia floccosa","3","0.5","West Beach MID 2011"
"Palmaria hecatensis","3","4","West Beach MID 2011"
"Petrocelis--thick","3","15","West Beach MID 2011"
"Pseudolithophyllum neofarlowii","3","2","West Beach MID 2011"
"Ulva lactuca","3","1","West Beach MID 2011"
"Boulder","3","95","West Beach MID 2011"
"Cobble","3","5","West Beach MID 2011"
"Bare rock","3","25","West Beach MID 2011"
"Endocladia muricata","4","8","West Beach MID 2011"
